1638290670.735199 client started (15012): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1638290670.735274 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64
1638290670.735303 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638290670.735346 flags are 0x18010000
1638290670.735361 socket is /private/tmp/tmux-502/default
1638290670.735381 trying connect
1638290670.735419 connect failed: No such file or directory
1638290670.735447 lock file is /private/tmp/tmux-502/default.lock
1638290670.735573 flock succeeded
1638290670.735592 got lock (6)
1638290670.735609 trying connect
1638290670.735639 connect failed: No such file or directory
1638290670.736141 add peer 0x7feb2a831000: 7 (0x0)
1638290670.738697 sending message 100 to peer 0x7feb2a831000 (4 bytes)
1638290670.738723 sending message 111 to peer 0x7feb2a831000 (8 bytes)
1638290670.738737 sending message 101 to peer 0x7feb2a831000 (15 bytes)
1638290670.738751 sending message 109 to peer 0x7feb2a831000 (4 bytes)
1638290670.738763 sending message 102 to peer 0x7feb2a831000 (13 bytes)
1638290670.738775 sending message 108 to peer 0x7feb2a831000 (46 bytes)
1638290670.738787 sending message 112 to peer 0x7feb2a831000 (58 bytes)
1638290670.738799 sending message 112 to peer 0x7feb2a831000 (5 bytes)
1638290670.738810 sending message 112 to peer 0x7feb2a831000 (5 bytes)
1638290670.738823 sending message 112 to peer 0x7feb2a831000 (6 bytes)
1638290670.738834 sending message 112 to peer 0x7feb2a831000 (6 bytes)
1638290670.738845 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.738858 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.738869 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.738881 sending message 112 to peer 0x7feb2a831000 (14 bytes)
1638290670.738892 sending message 112 to peer 0x7feb2a831000 (19 bytes)
1638290670.738905 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.738915 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.738928 sending message 112 to peer 0x7feb2a831000 (15 bytes)
1638290670.738939 sending message 112 to peer 0x7feb2a831000 (21 bytes)
1638290670.738951 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.738963 sending message 112 to peer 0x7feb2a831000 (7 bytes)
1638290670.738974 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.738986 sending message 112 to peer 0x7feb2a831000 (7 bytes)
1638290670.738997 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739010 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739021 sending message 112 to peer 0x7feb2a831000 (21 bytes)
1638290670.739032 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739045 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739057 sending message 112 to peer 0x7feb2a831000 (16 bytes)
1638290670.739069 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739081 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739093 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739105 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739117 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739128 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739140 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739150 sending message 112 to peer 0x7feb2a831000 (7 bytes)
1638290670.739162 sending message 112 to peer 0x7feb2a831000 (7 bytes)
1638290670.739175 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739186 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739198 sending message 112 to peer 0x7feb2a831000 (15 bytes)
1638290670.739209 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739221 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739232 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739244 sending message 112 to peer 0x7feb2a831000 (14 bytes)
1638290670.739255 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.739298 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.739306 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739314 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739325 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739333 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739341 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.739350 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739357 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739365 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739372 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739380 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739390 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.739398 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.739405 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739412 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739419 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739426 sending message 112 to peer 0x7feb2a831000 (12 bytes)
